id,source_id,reason
NP_AUG_00102_NP_semantic_CH081,CH081,answer_mismatch:1236.83!=633.26
NP_AUG_00322_NP_semantic_DT121,DT121,answer_mismatch:8333.33!=6666.67
NP_AUG_00600_NP_semantic_DDT418,DDT418,answer_mismatch:0.00225189!=0.003519
NP_AUG_00128_NP_semantic_TD060,TD060,answer_mismatch:0.465288!=0.73
NP_AUG_00759_NP_semantic_CH076,CH076,answer_mismatch:24.7366!=12.67
NP_AUG_00258_NP_semantic_CH028,CH028,answer_mismatch:79.5775!=63.66
NP_AUG_00552_NP_semantic_CH029,CH029,answer_mismatch:125.823!=100.66
NP_AUG_00566_NP_semantic_DDT456,DDT456,answer_mismatch:62.9115!=50.329
NP_AUG_00030_NP_semantic_TD036,TD036,answer_mismatch:1.49792!=2.34
NP_AUG_00406_NP_official_text_csv_CH027,CH027,answer_mismatch:81.2184!=64.97
NP_AUG_00812_NP_semantic_CH070,CH070,answer_mismatch:146.587!=74.96
NP_AUG_00502_NP_official_text_csv_NL040,NL040,answer_mismatch:46.08!=90.00
NP_AUG_00791_NP_semantic_CH097,CH097,answer_mismatch:1.97893!=1.01
NP_AUG_00298_NP_semantic_THCB223,THCB223,answer_mismatch:24!=30
NP_AUG_00390_NP_semantic_DDT419,DDT419,answer_mismatch:0.000772078!=0.001206
NP_AUG_00020_NP_semantic_DT147,DT147,answer_mismatch:18367.3!=14693.88
NP_AUG_00394_NP_semantic_DDT419,DDT419,answer_mismatch:0.000772078!=0.001206
NP_AUG_00534_NP_semantic_DT113,DT113,answer_mismatch:10546.9!=8437.5
NP_AUG_00416_NP_semantic_CH038,CH038,answer_mismatch:66.3146!=53.05
NP_AUG_00643_NP_semantic_DT163,DT163,answer_mismatch:7.68e-05!=120 x 10^-6
NP_AUG_00723_NP_semantic_CH087,CH087,answer_mismatch:2.57673!=1.32
NP_AUG_00761_NP_semantic_CH076,CH076,answer_mismatch:24.7366!=12.67
NP_AUG_00204_NP_semantic_NL352,NL352,answer_mismatch:0.6144!=1.2
NP_AUG_00130_NP_semantic_TD060,TD060,answer_mismatch:0.465288!=0.73
NP_AUG_00284_NP_semantic_NL423,NL423,answer_mismatch:307.2!=600
NP_AUG_00777_NP_semantic_CH080,CH080,answer_mismatch:24.4312!=12.51
NP_AUG_00160_NP_semantic_TD021,TD021,answer_mismatch:3.34843!=5.23
NP_AUG_00586_NP_semantic_DDT429,DDT429,answer_mismatch:0.00308831!=0.004825
NP_AUG_00034_NP_semantic_DT112,DT112,answer_mismatch:11479.6!=9183.67
NP_AUG_00620_NP_official_text_csv_NL084,NL084,answer_mismatch:0.00075!=0.0006
NP_AUG_00310_NP_semantic_DT122,DT122,answer_mismatch:87500!=70000
NP_AUG_00086_NP_semantic_DDT437,DDT437,answer_mismatch:0.002304!=0.0045
NP_AUG_00028_NP_semantic_TD036,TD036,answer_mismatch:1.49792!=2.34
NP_AUG_00434_NP_semantic_DDT486,DDT486,answer_mismatch:0.0303579!=0.037947
NP_AUG_00498_NP_semantic_NL019,NL019,answer_mismatch:0.3125!=0.25
NP_AUG_00404_NP_semantic_CH401,CH401,answer_mismatch:140.674!=112.54
NP_semantic_LD090,LD090,metadata_answer_mismatch:15978.2!=9225
NP_semantic_LD355,LD355,metadata_answer_mismatch:7.64593e+06!=6720000
NP_AUG_00154_NP_semantic_TD185,TD185,answer_mismatch:173.615!=339.1
NP_AUG_00504_NP_official_text_csv_NL040,NL040,answer_mismatch:46.08!=90.00
NP_AUG_00582_NP_semantic_DDT408,DDT408,answer_mismatch:0.00212321!=0.003318
NP_AUG_00036_NP_semantic_DT112,DT112,answer_mismatch:11479.6!=9183.67
NP_AUG_00484_NP_semantic_DT153,DT153,answer_mismatch:7.2e-05!=112.5 x 10^-6
NP_AUG_00556_NP_semantic_CH030,CH030,answer_mismatch:198.944!=159.15
NP_AUG_00602_NP_semantic_DDT418,DDT418,answer_mismatch:0.00225189!=0.003519
NP_AUG_00430_NP_semantic_DDT486,DDT486,answer_mismatch:0.0303579!=0.037947
NP_AUG_00488_NP_semantic_DT153,DT153,answer_mismatch:7.2e-05!=112.5 x 10^-6
NP_AUG_00528_NP_semantic_DDT455,DDT455,answer_mismatch:62.9115!=50.329
NP_AUG_00206_NP_semantic_CH395,CH395,answer_mismatch:85.3333!=106.667
NP_AUG_00448_NP_semantic_DT119,DT119,answer_mismatch:9183.67!=7346.94
NP_AUG_00238_NP_semantic_NL424,NL424,answer_mismatch:560!=1093.75
NP_AUG_00132_NP_semantic_TD060,TD060,answer_mismatch:0.465288!=0.73
NP_AUG_00474_NP_semantic_CH031,CH031,answer_mismatch:49.7359!=39.79
NP_AUG_00679_NP_semantic_DT160,DT160,answer_mismatch:8.736e-05!=136.5 x 10^-6
NP_AUG_00062_NP_semantic_CH045,CH045,answer_mismatch:320!=400
NP_AUG_00418_NP_semantic_DT128,DT128,answer_mismatch:6944.44!=5555.56
NP_AUG_00816_NP_semantic_CH070,CH070,answer_mismatch:146.587!=74.96
NP_AUG_00506_NP_official_text_csv_NL040,NL040,answer_mismatch:46.08!=90.00
NP_AUG_00633_NP_semantic_CH348,CH348,answer_mismatch:114.86!=91.89
NP_AUG_00090_NP_semantic_DDT437,DDT437,answer_mismatch:0.002304!=0.0045
NP_AUG_00711_NP_semantic_DT152,DT152,answer_mismatch:5.376e-05!=84 x 10^-6
NP_AUG_00470_NP_official_text_csv_NL396,NL396,answer_mismatch:0.2!=0.16
NP_AUG_00522_NP_semantic_CH078,CH078,answer_mismatch:10.9941!=5.63
NP_AUG_00564_NP_semantic_DDT456,DDT456,answer_mismatch:62.9115!=50.329
NP_AUG_00472_NP_semantic_CH031,CH031,answer_mismatch:49.7359!=39.79
NP_AUG_00554_NP_semantic_CH029,CH029,answer_mismatch:125.823!=100.66
NP_AUG_00294_NP_semantic_THCB223,THCB223,answer_mismatch:24!=30
NP_AUG_00653_NP_semantic_CH074,CH074,answer_mismatch:19.6283!=10.05
NP_AUG_00727_NP_semantic_DT154,DT154,answer_mismatch:9.216e-05!=144 x 10^-6
NP_AUG_00114_NP_semantic_TD191,TD191,answer_mismatch:104.44!=204
NP_AUG_00783_NP_official_text_csv_CH098,CH098,answer_mismatch:2.47366!=1.27
NP_AUG_00657_NP_semantic_CH061,CH061,answer_mismatch:19.7893!=10.13
NP_AUG_00414_NP_semantic_CH038,CH038,answer_mismatch:66.3146!=53.05
NP_AUG_00450_NP_semantic_DT119,DT119,answer_mismatch:9183.67!=7346.94
NP_AUG_00496_NP_semantic_NL019,NL019,answer_mismatch:0.3125!=0.25
NP_AUG_00108_NP_semantic_DDT485,DDT485,answer_mismatch:0.252982!=0.316228
NP_AUG_00256_NP_semantic_CH040,CH040,answer_mismatch:70.3372!=56.27
NP_AUG_00490_NP_semantic_CH400,CH400,answer_mismatch:72.644!=58.12
NP_AUG_00697_NP_semantic_DT162,DT162,answer_mismatch:5.76e-05!=90 x 10^-6
NP_AUG_00806_NP_semantic_CH069,CH069,answer_mismatch:197.893!=101.32
NP_AUG_00655_NP_semantic_CH061,CH061,answer_mismatch:19.7893!=10.13
NP_AUG_00476_NP_semantic_CH031,CH031,answer_mismatch:49.7359!=39.79
NP_AUG_00530_NP_semantic_DDT455,DDT455,answer_mismatch:62.9115!=50.329
NP_AUG_00725_NP_semantic_CH087,CH087,answer_mismatch:2.57673!=1.32
NP_AUG_00466_NP_official_text_csv_NL396,NL396,answer_mismatch:0.2!=0.16
NP_AUG_00326_NP_semantic_DT136,DT136,answer_mismatch:62500!=50000
NP_AUG_00669_NP_semantic_CH065,CH065,answer_mismatch:11.4521!=5.86
NP_AUG_00649_NP_semantic_CH074,CH074,answer_mismatch:19.6283!=10.05
NP_AUG_00402_NP_semantic_CH401,CH401,answer_mismatch:140.674!=112.54
NP_semantic_DDT383,DDT383,answer_mismatch:6e-07!=6×10⁻⁷
NP_AUG_00138_NP_official_text_csv_TD365,TD365,answer_mismatch:28.8!=45
NP_AUG_00618_NP_official_text_csv_NL084,NL084,answer_mismatch:0.00075!=0.0006
NP_AUG_00166_NP_semantic_DT114,DT114,answer_mismatch:9722.22!=7777.78
NP_AUG_00701_NP_semantic_DT162,DT162,answer_mismatch:5.76e-05!=90 x 10^-6
NP_AUG_00112_NP_semantic_TD191,TD191,answer_mismatch:104.44!=204
NP_AUG_00056_NP_semantic_DDT147,DDT147,answer_mismatch:57.6!=112.50
NP_AUG_00789_NP_semantic_CH097,CH097,answer_mismatch:1.97893!=1.01
NP_semantic_DDT395,DDT395,answer_mismatch:3e-06!=3×10⁻⁶
NP_AUG_00614_NP_semantic_DT161,DT161,answer_mismatch:4.032e-05!=63 x 10^-6
NP_AUG_00170_NP_official_text_csv_CH347,CH347,answer_mismatch:125.823!=100.66
NP_AUG_00494_NP_semantic_CH400,CH400,answer_mismatch:72.644!=58.12
NP_AUG_00308_NP_semantic_DT122,DT122,answer_mismatch:87500!=70000
NP_AUG_00787_NP_official_text_csv_CH098,CH098,answer_mismatch:2.47366!=1.27
NP_AUG_00392_NP_semantic_DDT419,DDT419,answer_mismatch:0.000772078!=0.001206
NP_AUG_00741_NP_semantic_CH091,CH091,answer_mismatch:91.6171!=46.9
NP_AUG_00016_NP_semantic_DT104,DT104,answer_mismatch:15625!=12500
NP_AUG_00444_NP_semantic_DT106,DT106,answer_mismatch:12304.7!=9843.75
NP_AUG_00731_NP_semantic_DT154,DT154,answer_mismatch:9.216e-05!=144 x 10^-6
NP_AUG_00182_NP_semantic_DDT424,DDT424,answer_mismatch:0.00495417!=0.007741
NP_AUG_00352_NP_semantic_NL304,NL304,answer_mismatch:0.4608!=0.9
NP_AUG_00136_NP_official_text_csv_TD365,TD365,answer_mismatch:28.8!=45
NP_AUG_00763_NP_semantic_CH076,CH076,answer_mismatch:24.7366!=12.67
NP_AUG_00168_NP_semantic_DT114,DT114,answer_mismatch:9722.22!=7777.78
NP_AUG_00779_NP_semantic_CH080,CH080,answer_mismatch:24.4312!=12.51
NP_AUG_00346_NP_semantic_CH396,CH396,answer_mismatch:125.823!=100.66
NP_AUG_00014_NP_semantic_DT104,DT104,answer_mismatch:15625!=12500
NP_AUG_00622_NP_official_text_csv_NL084,NL084,answer_mismatch:0.00075!=0.0006
NP_AUG_00478_NP_semantic_DT109,DT109,answer_mismatch:14062.5!=11250
NP_AUG_00070_NP_official_text_csv_CH035,CH035,answer_mismatch:198.944!=159.15
NP_AUG_00042_NP_semantic_DT159,DT159,answer_mismatch:6.912e-05!=108 x 10^-6
NP_AUG_00520_NP_semantic_CH078,CH078,answer_mismatch:10.9941!=5.63
NP_AUG_00146_NP_semantic_TD076,TD076,answer_mismatch:346.542!=676.84
NP_AUG_00318_NP_semantic_DT121,DT121,answer_mismatch:8333.33!=6666.67
NP_AUG_00631_NP_semantic_CH348,CH348,answer_mismatch:114.86!=91.89
NP_AUG_00134_NP_official_text_csv_TD365,TD365,answer_mismatch:28.8!=45
NP_AUG_00280_NP_semantic_CH063,CH063,answer_mismatch:27.4851!=14.07
NP_AUG_00420_NP_semantic_DT128,DT128,answer_mismatch:6944.44!=5555.56
NP_AUG_00568_NP_semantic_NL118,NL118,answer_mismatch:19.6608!=38.40
NP_AUG_00202_NP_semantic_NL352,NL352,answer_mismatch:0.6144!=1.2
NP_AUG_00378_NP_semantic_CH346,CH346,answer_mismatch:104.853!=83.89
NP_AUG_00282_NP_semantic_NL423,NL423,answer_mismatch:307.2!=600
NP_AUG_00624_NP_semantic_NL126,NL126,answer_mismatch:0.001125!=0.0009
NP_semantic_LD066,LD066,metadata_answer_mismatch:4000!=2000
NP_AUG_00104_NP_semantic_DDT485,DDT485,answer_mismatch:0.252982!=0.316228
NP_AUG_00584_NP_semantic_DDT408,DDT408,answer_mismatch:0.00212321!=0.003318
NP_AUG_00729_NP_semantic_DT154,DT154,answer_mismatch:9.216e-05!=144 x 10^-6
NP_AUG_00100_NP_semantic_CH081,CH081,answer_mismatch:1236.83!=633.26
NP_AUG_00793_NP_semantic_CH097,CH097,answer_mismatch:1.97893!=1.01
NP_official_text_csv_CH271,CH271,metadata_answer_mismatch:1.26491!=4
NP_AUG_00384_NP_semantic_NL107,NL107,answer_mismatch:163.84!=320.00
NP_AUG_00412_NP_semantic_CH038,CH038,answer_mismatch:66.3146!=53.05
NP_AUG_00685_NP_semantic_CH077,CH077,answer_mismatch:13.1929!=6.76
NP_AUG_00058_NP_semantic_DDT147,DDT147,answer_mismatch:57.6!=112.50
NP_AUG_00468_NP_official_text_csv_NL396,NL396,answer_mismatch:0.2!=0.16
NP_AUG_00645_NP_semantic_DT163,DT163,answer_mismatch:7.68e-05!=120 x 10^-6
NP_semantic_DDT204,DDT204,answer_mismatch:1.13097e-06!=1.13 × 10^-6
NP_AUG_00808_NP_semantic_CH069,CH069,answer_mismatch:197.893!=101.32
NP_AUG_00164_NP_semantic_DT114,DT114,answer_mismatch:9722.22!=7777.78
NP_AUG_00296_NP_semantic_THCB223,THCB223,answer_mismatch:24!=30
NP_AUG_00647_NP_semantic_DT163,DT163,answer_mismatch:7.68e-05!=120 x 10^-6
NP_AUG_00659_NP_semantic_CH061,CH061,answer_mismatch:19.7893!=10.13
NP_AUG_00606_NP_semantic_DDT484,DDT484,answer_mismatch:0.151789!=0.189737
NP_AUG_00715_NP_semantic_CH073,CH073,answer_mismatch:197.893!=101.3
NP_AUG_00236_NP_semantic_NL424,NL424,answer_mismatch:560!=1093.75
NP_AUG_00360_NP_semantic_CH399,CH399,answer_mismatch:99.4718!=79.58
NP_AUG_00364_NP_semantic_CH399,CH399,answer_mismatch:99.4718!=79.58
NP_AUG_00721_NP_semantic_CH087,CH087,answer_mismatch:2.57673!=1.32
NP_AUG_00054_NP_official_text_csv_CH032,CH032,answer_mismatch:198.944!=159.15
NP_AUG_00178_NP_semantic_DT124,DT124,answer_mismatch:40500!=32400
NP_AUG_00462_NP_semantic_CH023,CH023,answer_mismatch:114.86!=91.89
NP_AUG_00558_NP_semantic_CH030,CH030,answer_mismatch:198.944!=159.15
NP_AUG_00172_NP_official_text_csv_CH347,CH347,answer_mismatch:125.823!=100.66
NP_AUG_00572_NP_semantic_NL118,NL118,answer_mismatch:19.6608!=38.40
NP_semantic_DDT375,DDT375,answer_mismatch:4e-07!=4×10⁻⁷
NP_AUG_00562_NP_semantic_DDT456,DDT456,answer_mismatch:62.9115!=50.329
NP_AUG_00460_NP_semantic_CH023,CH023,answer_mismatch:114.86!=91.89
NP_AUG_00743_NP_semantic_CH091,CH091,answer_mismatch:91.6171!=46.9
NP_AUG_00410_NP_official_text_csv_CH027,CH027,answer_mismatch:81.2184!=64.97
NP_AUG_00312_NP_semantic_DT126,DT126,answer_mismatch:6887.76!=5510.2
NP_AUG_00032_NP_semantic_DT112,DT112,answer_mismatch:11479.6!=9183.67
NP_AUG_00677_NP_semantic_CH082,CH082,answer_mismatch:3.09208!=1.58
NP_AUG_00262_NP_semantic_CH028,CH028,answer_mismatch:79.5775!=63.66
NP_AUG_00184_NP_semantic_DDT424,DDT424,answer_mismatch:0.00495417!=0.007741
NP_AUG_00386_NP_semantic_NL107,NL107,answer_mismatch:163.84!=320.00
NP_AUG_00713_NP_semantic_DT152,DT152,answer_mismatch:5.376e-05!=84 x 10^-6
NP_AUG_00316_NP_semantic_DT126,DT126,answer_mismatch:6887.76!=5510.2
NP_AUG_00156_NP_semantic_TD185,TD185,answer_mismatch:173.615!=339.1
NP_AUG_00683_NP_semantic_DT160,DT160,answer_mismatch:8.736e-05!=136.5 x 10^-6
NP_AUG_00336_NP_semantic_DDT430,DDT430,answer_mismatch:0.00405341!=0.006333
NP_AUG_00482_NP_semantic_DT109,DT109,answer_mismatch:14062.5!=11250
NP_AUG_00612_NP_semantic_DT161,DT161,answer_mismatch:4.032e-05!=63 x 10^-6
NP_AUG_00248_NP_semantic_THCB199,THCB199,answer_mismatch:67.2!=84
NP_AUG_00324_NP_semantic_DT136,DT136,answer_mismatch:62500!=50000
NP_AUG_00180_NP_semantic_DT124,DT124,answer_mismatch:40500!=32400
NP_AUG_00516_NP_semantic_DT141,DT141,answer_mismatch:3515.63!=2812.5
NP_AUG_00174_NP_official_text_csv_CH347,CH347,answer_mismatch:125.823!=100.66
NP_AUG_00446_NP_semantic_DT106,DT106,answer_mismatch:12304.7!=9843.75
NP_AUG_00810_NP_semantic_CH069,CH069,answer_mismatch:197.893!=101.32
NP_AUG_00140_NP_semantic_CH413,CH413,answer_mismatch:504!=630
NP_AUG_00588_NP_semantic_DDT429,DDT429,answer_mismatch:0.00308831!=0.004825
NP_AUG_00358_NP_official_text_csv_CH088,CH088,answer_mismatch:25.7673!=13.19
NP_AUG_00052_NP_official_text_csv_CH032,CH032,answer_mismatch:198.944!=159.15
NP_AUG_00781_NP_semantic_CH080,CH080,answer_mismatch:24.4312!=12.51
NP_AUG_00442_NP_semantic_DT106,DT106,answer_mismatch:12304.7!=9843.75
NP_AUG_00629_NP_semantic_CH348,CH348,answer_mismatch:114.86!=91.89
NP_AUG_00026_NP_semantic_TD036,TD036,answer_mismatch:1.49792!=2.34
NP_semantic_DDT347,DDT347,metadata_answer_mismatch:63.662!=12
NP_AUG_00699_NP_semantic_DT162,DT162,answer_mismatch:5.76e-05!=90 x 10^-6
NP_AUG_00024_NP_semantic_DT147,DT147,answer_mismatch:18367.3!=14693.88
NP_AUG_00242_NP_semantic_CH384,CH384,answer_mismatch:313.6!=392
NP_AUG_00524_NP_semantic_CH078,CH078,answer_mismatch:10.9941!=5.63
NP_AUG_00733_NP_semantic_DT156,DT156,answer_mismatch:2.592e-05!=40.5 x 10^-6
NP_AUG_00356_NP_official_text_csv_CH088,CH088,answer_mismatch:25.7673!=13.19
NP_AUG_00514_NP_semantic_DT141,DT141,answer_mismatch:3515.63!=2812.5
NP_AUG_00428_NP_semantic_DDT403,DDT403,answer_mismatch:0.00154416!=0.002413
NP_AUG_00675_NP_semantic_CH082,CH082,answer_mismatch:3.09208!=1.58
NP_AUG_00673_NP_semantic_CH082,CH082,answer_mismatch:3.09208!=1.58
NP_AUG_00671_NP_semantic_CH065,CH065,answer_mismatch:11.4521!=5.86
NP_AUG_00651_NP_semantic_CH074,CH074,answer_mismatch:19.6283!=10.05
NP_AUG_00362_NP_semantic_CH399,CH399,answer_mismatch:99.4718!=79.58
NP_semantic_DDT396,DDT396,answer_mismatch:1.5e-06!=1.5×10⁻⁶
NP_AUG_00212_NP_semantic_CH169,CH169,answer_mismatch:133.803!=167.25
NP_AUG_00422_NP_semantic_DT128,DT128,answer_mismatch:6944.44!=5555.56
NP_AUG_00158_NP_semantic_TD021,TD021,answer_mismatch:3.34843!=5.23
NP_AUG_00432_NP_semantic_DDT486,DDT486,answer_mismatch:0.0303579!=0.037947
NP_AUG_00072_NP_official_text_csv_CH035,CH035,answer_mismatch:198.944!=159.15
NP_AUG_00785_NP_official_text_csv_CH098,CH098,answer_mismatch:2.47366!=1.27
NP_AUG_00194_NP_semantic_CH056,CH056,answer_mismatch:192!=240
NP_AUG_00735_NP_semantic_DT156,DT156,answer_mismatch:2.592e-05!=40.5 x 10^-6
NP_AUG_00218_NP_semantic_THCB190,THCB190,answer_mismatch:2.21538!=2.769
NP_AUG_00739_NP_semantic_CH091,CH091,answer_mismatch:91.6171!=46.9
NP_AUG_00200_NP_semantic_NL352,NL352,answer_mismatch:0.6144!=1.2
NP_AUG_00230_NP_semantic_THCB194,THCB194,answer_mismatch:4.608!=7.2
NP_AUG_00060_NP_semantic_DDT147,DDT147,answer_mismatch:57.6!=112.50
NP_AUG_00106_NP_semantic_DDT485,DDT485,answer_mismatch:0.252982!=0.316228
NP_AUG_00408_NP_official_text_csv_CH027,CH027,answer_mismatch:81.2184!=64.97
NP_AUG_00148_NP_semantic_TD076,TD076,answer_mismatch:346.542!=676.84
NP_AUG_00176_NP_semantic_DT124,DT124,answer_mismatch:40500!=32400
NP_AUG_00088_NP_semantic_DDT437,DDT437,answer_mismatch:0.002304!=0.0045
NP_AUG_00348_NP_semantic_NL304,NL304,answer_mismatch:0.4608!=0.9
NP_AUG_00709_NP_semantic_DT152,DT152,answer_mismatch:5.376e-05!=84 x 10^-6
NP_AUG_00719_NP_semantic_CH073,CH073,answer_mismatch:197.893!=101.3
NP_AUG_00022_NP_semantic_DT147,DT147,answer_mismatch:18367.3!=14693.88
NP_AUG_00110_NP_semantic_TD191,TD191,answer_mismatch:104.44!=204
NP_AUG_00480_NP_semantic_DT109,DT109,answer_mismatch:14062.5!=11250
NP_AUG_00626_NP_semantic_NL126,NL126,answer_mismatch:0.001125!=0.0009
NP_AUG_00018_NP_semantic_DT104,DT104,answer_mismatch:15625!=12500
NP_AUG_00641_NP_semantic_CH341,CH341,answer_mismatch:88.9703!=71.18
NP_AUG_00278_NP_semantic_CH063,CH063,answer_mismatch:27.4851!=14.07
NP_AUG_00150_NP_semantic_TD076,TD076,answer_mismatch:346.542!=676.84
NP_AUG_00400_NP_semantic_CH401,CH401,answer_mismatch:140.674!=112.54
NP_AUG_00608_NP_semantic_DDT484,DDT484,answer_mismatch:0.151789!=0.189737
NP_AUG_00152_NP_semantic_TD185,TD185,answer_mismatch:173.615!=339.1
NP_AUG_00380_NP_semantic_CH346,CH346,answer_mismatch:104.853!=83.89
NP_AUG_00550_NP_semantic_CH029,CH029,answer_mismatch:125.823!=100.66
NP_AUG_00598_NP_semantic_DT120,DT120,answer_mismatch:8789.06!=7031.25
NP_AUG_00737_NP_semantic_DT156,DT156,answer_mismatch:2.592e-05!=40.5 x 10^-6
NP_AUG_00814_NP_semantic_CH070,CH070,answer_mismatch:146.587!=74.96
NP_AUG_00098_NP_semantic_CH081,CH081,answer_mismatch:1236.83!=633.26
NP_AUG_00546_NP_semantic_NL382,NL382,answer_mismatch:0.64!=1.25
NP_AUG_00162_NP_semantic_TD021,TD021,answer_mismatch:3.34843!=5.23
NP_AUG_00426_NP_semantic_DDT403,DDT403,answer_mismatch:0.00154416!=0.002413
NP_AUG_00044_NP_semantic_THCB191,THCB191,answer_mismatch:4.32!=5.4
NP_AUG_00314_NP_semantic_DT126,DT126,answer_mismatch:6887.76!=5510.2
NP_AUG_00616_NP_semantic_DT161,DT161,answer_mismatch:4.032e-05!=63 x 10^-6
NP_AUG_00338_NP_semantic_DDT430,DDT430,answer_mismatch:0.00405341!=0.006333
NP_AUG_00580_NP_semantic_DDT408,DDT408,answer_mismatch:0.00212321!=0.003318
NP_AUG_00526_NP_semantic_DDT455,DDT455,answer_mismatch:62.9115!=50.329
NP_AUG_00532_NP_semantic_DT113,DT113,answer_mismatch:10546.9!=8437.5
NP_AUG_00590_NP_semantic_DDT429,DDT429,answer_mismatch:0.00308831!=0.004825
NP_AUG_00382_NP_semantic_CH346,CH346,answer_mismatch:104.853!=83.89
NP_AUG_00560_NP_semantic_CH030,CH030,answer_mismatch:198.944!=159.15
NP_AUG_00492_NP_semantic_CH400,CH400,answer_mismatch:72.644!=58.12
NP_semantic_LD359,LD359,metadata_answer_mismatch:13500000!=6000000
NP_AUG_00254_NP_semantic_CH040,CH040,answer_mismatch:70.3372!=56.27
NP_AUG_00038_NP_semantic_DT159,DT159,answer_mismatch:6.912e-05!=108 x 10^-6
NP_AUG_00452_NP_semantic_DT119,DT119,answer_mismatch:9183.67!=7346.94
NP_AUG_00424_NP_semantic_DDT403,DDT403,answer_mismatch:0.00154416!=0.002413
NP_AUG_00354_NP_official_text_csv_CH088,CH088,answer_mismatch:25.7673!=13.19
NP_semantic_LD063,LD063,metadata_answer_mismatch:0.00121785!=0.000703125
NP_AUG_00240_NP_semantic_NL424,NL424,answer_mismatch:560!=1093.75
NP_AUG_00252_NP_semantic_CH040,CH040,answer_mismatch:70.3372!=56.27
NP_AUG_00340_NP_semantic_DDT430,DDT430,answer_mismatch:0.00405341!=0.006333
NP_AUG_00610_NP_semantic_DDT484,DDT484,answer_mismatch:0.151789!=0.189737
NP_AUG_00536_NP_semantic_DT113,DT113,answer_mismatch:10546.9!=8437.5
NP_AUG_00050_NP_official_text_csv_CH032,CH032,answer_mismatch:198.944!=159.15
NP_AUG_00306_NP_semantic_DT122,DT122,answer_mismatch:87500!=70000
NP_AUG_00276_NP_semantic_CH063,CH063,answer_mismatch:27.4851!=14.07
NP_AUG_00286_NP_semantic_NL423,NL423,answer_mismatch:307.2!=600
NP_AUG_00570_NP_semantic_NL118,NL118,answer_mismatch:19.6608!=38.40
NP_AUG_00350_NP_semantic_NL304,NL304,answer_mismatch:0.4608!=0.9
NP_AUG_00687_NP_semantic_CH077,CH077,answer_mismatch:13.1929!=6.76
NP_AUG_00500_NP_semantic_NL019,NL019,answer_mismatch:0.3125!=0.25
NP_AUG_00548_NP_semantic_NL382,NL382,answer_mismatch:0.64!=1.25
NP_AUG_00040_NP_semantic_DT159,DT159,answer_mismatch:6.912e-05!=108 x 10^-6
NP_AUG_00344_NP_semantic_CH396,CH396,answer_mismatch:125.823!=100.66
NP_AUG_00320_NP_semantic_DT121,DT121,answer_mismatch:8333.33!=6666.67
NP_AUG_00681_NP_semantic_DT160,DT160,answer_mismatch:8.736e-05!=136.5 x 10^-6
NP_AUG_00224_NP_semantic_THCB212,THCB212,answer_mismatch:20.48!=40
NP_AUG_00689_NP_semantic_CH077,CH077,answer_mismatch:13.1929!=6.76
NP_AUG_00388_NP_semantic_NL107,NL107,answer_mismatch:163.84!=320.00
NP_AUG_00342_NP_semantic_CH396,CH396,answer_mismatch:125.823!=100.66
NP_AUG_00486_NP_semantic_DT153,DT153,answer_mismatch:7.2e-05!=112.5 x 10^-6
NP_AUG_00068_NP_official_text_csv_CH035,CH035,answer_mismatch:198.944!=159.15
NP_AUG_00518_NP_semantic_DT141,DT141,answer_mismatch:3515.63!=2812.5
NP_AUG_00717_NP_semantic_CH073,CH073,answer_mismatch:197.893!=101.3
NP_semantic_LD069,LD069,metadata_answer_mismatch:15588.5!=9000
NP_AUG_00667_NP_semantic_CH065,CH065,answer_mismatch:11.4521!=5.86
NP_AUG_00186_NP_semantic_DDT424,DDT424,answer_mismatch:0.00495417!=0.007741
NP_AUG_00464_NP_semantic_CH023,CH023,answer_mismatch:114.86!=91.89
NP_AUG_00544_NP_semantic_NL382,NL382,answer_mismatch:0.64!=1.25
NP_AUG_00328_NP_semantic_DT136,DT136,answer_mismatch:62500!=50000
NP_AUG_00604_NP_semantic_DDT418,DDT418,answer_mismatch:0.00225189!=0.003519
NP_AUG_00260_NP_semantic_CH028,CH028,answer_mismatch:79.5775!=63.66
